# Age    [M/H]     CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD   TiO1   TiO2    HdA    HgA     HdF   HgF   D4000   CaT*   PaT    CaT    sTiO   MgI    D_CO
#===============================================================================================================================================================================================================================================
 5.0119 -1.7129  -0.125 -0.033  0.281  1.146  0.262  0.307  1.138 -0.412  3.224  1.754  0.004  0.047  0.920  0.672  0.638  0.291  0.285  0.083  1.036  0.015  0.006  4.755  2.428  3.551  2.933  1.624  4.240  1.198  5.353  0.952  0.277  1.133
 5.6234 -1.7129  -0.123 -0.031  0.306  1.352  0.417  0.328  1.180 -0.416  3.057  1.782  0.005  0.049  0.958  0.712  0.663  0.304  0.290  0.089  1.036  0.014  0.005  4.396  2.013  3.321  2.670  1.624  4.239  1.104  5.266  0.950  0.278  1.129
 6.3096 -1.7129  -0.123 -0.030  0.330  1.520  0.522  0.341  1.208 -0.437  2.914  1.795  0.005  0.050  0.985  0.734  0.674  0.308  0.291  0.089  1.034  0.014  0.005  4.123  1.612  3.151  2.442  1.621  4.227  1.024  5.179  0.949  0.277  1.125
 7.0795 -1.7129  -0.123 -0.030  0.352  1.696  0.642  0.355  1.238 -0.450  2.773  1.811  0.005  0.051  1.009  0.760  0.687  0.313  0.294  0.091  1.030  0.014  0.004  3.827  1.229  2.962  2.204  1.621  4.222  0.943  5.099  0.948  0.277  1.120
 7.9433 -1.7129  -0.124 -0.029  0.375  1.872  0.748  0.370  1.270 -0.462  2.641  1.830  0.006  0.053  1.038  0.788  0.702  0.320  0.298  0.093  1.030  0.014  0.003  3.530  0.913  2.755  1.979  1.622  4.227  0.865  5.032  0.947  0.278  1.116
 8.9125 -1.7129  -0.123 -0.028  0.397  2.014  0.874  0.385  1.297 -0.464  2.528  1.842  0.006  0.054  1.066  0.816  0.721  0.329  0.301  0.097  1.035  0.013  0.003  3.251  0.594  2.584  1.778  1.621  4.228  0.799  4.971  0.947  0.279  1.111
10.0000 -1.7129  -0.123 -0.028  0.420  2.113  0.951  0.391  1.307 -0.490  2.438  1.834  0.007  0.053  1.047  0.826  0.727  0.330  0.300  0.094  1.041  0.013  0.002  3.071  0.431  2.450  1.636  1.617  4.206  0.748  4.902  0.945  0.279  1.105
11.2202 -1.7129  -0.124 -0.028  0.439  2.226  1.035  0.400  1.326 -0.506  2.350  1.839  0.008  0.055  1.063  0.843  0.739  0.335  0.301  0.094  1.049  0.013  0.002  2.920  0.395  2.294  1.509  1.616  4.192  0.701  4.844  0.945  0.280  1.100
12.5893 -1.7129  -0.124 -0.028  0.458  2.309  1.101  0.407  1.338 -0.520  2.283  1.837  0.009  0.056  1.084  0.858  0.751  0.340  0.301  0.095  1.062  0.013  0.001  2.782  0.181  2.206  1.388  1.614  4.189  0.667  4.810  0.944  0.282  1.095
14.1254 -1.7129  -0.128 -0.032  0.470  2.241  1.136  0.400  1.322 -0.548  2.284  1.807  0.010  0.053  0.992  0.845  0.747  0.336  0.296  0.089  1.078  0.012  0.001  2.839  0.290  2.262  1.453  1.606  4.204  0.706  4.861  0.943  0.283  1.090
15.8489 -1.7129  -0.135 -0.036  0.479  2.114  1.084  0.391  1.303 -0.558  2.393  1.783  0.011  0.056  1.066  0.836  0.747  0.336  0.294  0.085  1.099  0.012  0.000  3.025  0.345  2.461  1.538  1.609  4.253  0.754  4.954  0.943  0.287  1.086
17.7828 -1.7129  -0.144 -0.043  0.477  1.861  0.958  0.369  1.244 -0.547  2.562  1.727  0.013  0.058  1.127  0.804  0.736  0.332  0.291  0.078  1.127  0.012  0.000  3.295  0.655  2.721  1.752  1.595  4.306  0.793  5.044  0.944  0.292  1.083
 0.0631 -1.3146  -0.341 -0.238 -0.308 -2.309 -0.746 -0.120  0.215 -0.745  6.480  0.709  0.004  0.017  0.465 -0.138 -0.001 -0.055  0.157 -0.020  0.685  0.014 -0.002  9.090  8.744  6.842  6.892  1.151  3.272  4.662  7.607  0.951  0.082  1.094
 0.0708 -1.3146  -0.327 -0.227 -0.300 -2.332 -0.816 -0.126  0.208 -0.774  6.520  0.683  0.004  0.018  0.457 -0.165 -0.016 -0.068  0.147 -0.029  0.678  0.014 -0.003  9.172  8.859  6.860  6.949  1.160  3.126  4.850  7.636  0.951  0.067  1.096
 0.0794 -1.3146  -0.305 -0.208 -0.284 -2.211 -0.820 -0.111  0.247 -0.787  6.424  0.729  0.004  0.019  0.482 -0.131  0.003 -0.061  0.152 -0.026  0.677  0.014 -0.002  9.087  8.706  6.769  6.848  1.174  3.099  4.887  7.643  0.950  0.064  1.096
 0.0891 -1.3146  -0.287 -0.194 -0.270 -2.107 -0.822 -0.098  0.282 -0.797  6.336  0.772  0.004  0.020  0.501 -0.099  0.022 -0.052  0.159 -0.022  0.686  0.014 -0.002  8.992  8.552  6.690  6.756  1.190  3.118  4.891  7.667  0.951  0.066  1.099
 0.1000 -1.3146  -0.271 -0.181 -0.255 -2.051 -0.849 -0.090  0.304 -0.810  6.285  0.797  0.004  0.021  0.512 -0.082  0.035 -0.046  0.163 -0.019  0.699  0.014 -0.002  8.990  8.504  6.657  6.717  1.201  3.109  4.939  7.702  0.951  0.066  1.105
 0.1122 -1.3146  -0.212 -0.153 -0.020 -0.752 -0.018  0.215  1.036 -0.209  4.831  2.154  0.019  0.069  0.896  0.860  0.711  0.468  0.417  0.268  1.859  0.028  0.038  7.699  6.278  5.754  5.496  1.275  6.503  2.488  8.817  0.996  0.468  1.225
 0.1259 -1.3146  -0.200 -0.140 -0.007 -0.612 -0.022  0.225  1.060 -0.205  4.722  2.183  0.020  0.072  0.936  0.871  0.723  0.473  0.410  0.265  1.894  0.030  0.042  7.553  6.065  5.620  5.370  1.287  6.500  2.481  8.807  0.997  0.468  1.226
 0.1413 -1.3146  -0.169 -0.117  0.022 -0.473  0.179  0.262  1.125 -0.028  4.575  2.237  0.022  0.079  1.126  0.947  0.816  0.530  0.411  0.290  2.031  0.032  0.047  7.204  5.787  5.450  5.212  1.304  6.578  2.398  8.809  0.999  0.479  1.230
 0.1585 -1.3146  -0.151 -0.102  0.059 -0.301  0.269  0.298  1.202  0.095  4.404  2.355  0.025  0.087  1.226  1.022  0.892  0.583  0.413  0.309  2.170  0.037  0.056  6.955  5.449  5.261  5.014  1.318  6.732  2.272  8.845  1.001  0.501  1.235
 0.1778 -1.3146  -0.137 -0.087  0.078 -0.187  0.261  0.307  1.218  0.150  4.303  2.380  0.026  0.091  1.274  1.031  0.913  0.596  0.402  0.308  2.211  0.040  0.062  6.751  5.191  5.129  4.876  1.328  6.711  2.227  8.782  1.001  0.506  1.237
 0.1995 -1.3146  -0.130 -0.078  0.068 -0.206  0.152  0.281  1.147  0.145  4.308  2.277  0.026  0.089  1.263  0.960  0.877  0.569  0.378  0.288  2.155  0.041  0.063  6.660  5.121  5.097  4.852  1.334  6.566  2.263  8.671  0.998  0.493  1.237
 0.2239 -1.3146  -0.117 -0.066  0.095 -0.269  0.098  0.268  1.109  0.163  4.361  2.196  0.026  0.088  1.287  0.918  0.905  0.597  0.357  0.277  2.122  0.042  0.065  6.642  5.264  5.155  4.952  1.336  6.396  2.324  8.558  0.995  0.478  1.237
 0.2512 -1.3146  -0.113 -0.063  0.030 -0.682 -0.219  0.165  0.842  0.099  4.624  1.836  0.025  0.078  1.152  0.700  0.777  0.513  0.319  0.236  1.982  0.039  0.058  6.870  5.806  5.492  5.342  1.339  6.180  2.455  8.463  0.993  0.458  1.235
 0.2818 -1.3146  -0.115 -0.064 -0.024 -1.055 -0.564  0.071  0.603  0.031  4.872  1.522  0.025  0.068  0.995  0.487  0.646  0.433  0.284  0.193  1.854  0.037  0.053  7.068  6.218  5.792  5.666  1.352  6.013  2.530  8.366  0.992  0.447  1.235
 0.3162 -1.3146  -0.126 -0.073 -0.101 -1.619 -0.982 -0.048  0.301 -0.059  5.301  1.101  0.024  0.056  0.806  0.191  0.447  0.305  0.232  0.134  1.702  0.035  0.047  7.598  6.881  6.138  6.027  1.369  5.841  2.748  8.397  0.992  0.433  1.240
 0.3548 -1.3146  -0.117 -0.068 -0.089 -1.705 -1.010 -0.047  0.322 -0.139  5.430  1.086  0.022  0.054  0.792  0.175  0.427  0.285  0.224  0.123  1.629  0.033  0.043  7.781  7.107  6.210  6.126  1.382  5.643  2.859  8.302  0.989  0.413  1.234
 0.3981 -1.3146  -0.108 -0.060 -0.066 -1.700 -0.982 -0.030  0.382 -0.180  5.460  1.147  0.021  0.055  0.812  0.209  0.445  0.292  0.226  0.127  1.609  0.033  0.042  7.843  7.171  6.199  6.132  1.391  5.597  2.840  8.238  0.987  0.410  1.231
 0.4467 -1.3146  -0.100 -0.056 -0.043 -1.699 -0.974 -0.014  0.434 -0.211  5.482  1.202  0.020  0.057  0.833  0.240  0.462  0.300  0.228  0.130  1.598  0.033  0.042  7.861  7.148  6.198  6.112  1.397  5.584  2.808  8.196  0.987  0.409  1.228
 0.5012 -1.3146  -0.090 -0.046 -0.018 -1.530 -0.864  0.012  0.498 -0.217  5.348  1.263  0.019  0.058  0.875  0.294  0.490  0.310  0.237  0.137  1.564  0.032  0.040  7.656  7.055  5.945  5.980  1.407  5.462  2.638  7.915  0.983  0.401  1.224
 0.5623 -1.3146  -0.084 -0.040  0.015 -1.310 -0.971  0.049  0.588 -0.210  5.209  1.362  0.019  0.062  0.749  0.373  0.539  0.334  0.250  0.149  1.552  0.031  0.039  7.513  6.857  5.709  5.796  1.429  5.451  2.427  7.708  0.981  0.402  1.220
 0.6310 -1.3146  -0.080 -0.035  0.049 -1.126 -0.830  0.083  0.665 -0.186  5.128  1.455  0.019  0.063  0.820  0.449  0.588  0.362  0.266  0.162  1.551  0.031  0.039  7.342  6.497  5.568  5.578  1.453  5.456  2.229  7.530  0.980  0.408  1.217
 0.7079 -1.3146  -0.077 -0.033  0.068 -1.054 -0.768  0.100  0.707 -0.201  5.129  1.483  0.019  0.061  0.846  0.478  0.596  0.359  0.271  0.164  1.513  0.030  0.037  7.299  6.411  5.517  5.505  1.471  5.370  2.185  7.402  0.978  0.401  1.212
 0.7943 -1.3146  -0.073 -0.030  0.094 -0.946 -0.693  0.123  0.764 -0.204  5.089  1.540  0.019  0.062  0.880  0.523  0.623  0.371  0.278  0.170  1.499  0.030  0.036  7.232  6.290  5.440  5.411  1.491  5.368  2.129  7.349  0.976  0.401  1.209
 0.8913 -1.3146  -0.069 -0.029  0.122 -0.823 -0.613  0.146  0.821 -0.204  5.024  1.600  0.019  0.062  0.912  0.569  0.650  0.385  0.287  0.176  1.488  0.029  0.036  7.137  6.128  5.354  5.297  1.505  5.380  2.069  7.304  0.975  0.402  1.207
 1.0000 -1.3146  -0.067 -0.028  0.144 -0.684 -0.538  0.167  0.875 -0.220  4.947  1.650  0.018  0.062  0.926  0.607  0.662  0.387  0.295  0.180  1.461  0.028  0.034  7.031  5.962  5.250  5.174  1.521  5.353  2.026  7.237  0.974  0.398  1.203
 1.1220 -1.3146  -0.064 -0.026  0.165 -0.548 -0.448  0.190  0.931 -0.217  4.868  1.705  0.018  0.063  0.959  0.649  0.683  0.395  0.303  0.185  1.447  0.028  0.033  6.923  5.787  5.155  5.056  1.541  5.345  1.987  7.193  0.972  0.397  1.200
 1.2589 -1.3146  -0.066 -0.027  0.209 -0.063 -0.222  0.255  1.084 -0.154  4.521  1.923  0.017  0.065  1.009  0.775  0.746  0.439  0.334  0.204  1.412  0.028  0.034  6.471  4.989  4.811  4.588  1.575  5.508  1.779  7.162  0.972  0.411  1.197
 1.4125 -1.3146  -0.066 -0.028  0.255  0.120 -0.105  0.304  1.202 -0.052  4.368  2.114  0.018  0.070  1.092  0.884  0.824  0.502  0.361  0.233  1.467  0.030  0.038  6.360  4.699  4.751  4.425  1.594  5.810  1.665  7.359  0.975  0.441  1.201
 1.5849 -1.3146  -0.066 -0.029  0.250  0.118 -0.141  0.290  1.175 -0.145  4.412  2.026  0.016  0.065  1.065  0.836  0.767  0.453  0.349  0.213  1.364  0.027  0.032  6.406  4.762  4.770  4.446  1.600  5.532  1.751  7.161  0.970  0.412  1.188
 1.7783 -1.3146  -0.063 -0.027  0.278  0.431  0.040  0.327  1.255 -0.129  4.192  2.097  0.015  0.066  1.102  0.893  0.792  0.460  0.357  0.219  1.345  0.027  0.030  6.033  4.245  4.497  4.126  1.620  5.507  1.652  7.044  0.968  0.409  1.183
 1.9953 -1.3146  -0.061 -0.025  0.317  0.768  0.236  0.368  1.346 -0.094  3.945  2.193  0.015  0.068  1.143  0.963  0.834  0.485  0.372  0.231  1.336  0.026  0.030  5.625  3.640  4.213  3.775  1.641  5.540  1.533  6.966  0.967  0.411  1.179
 2.2387 -1.3146  -0.060 -0.025  0.339  1.002  0.367  0.391  1.395 -0.095  3.779  2.227  0.015  0.068  1.168  0.995  0.849  0.489  0.377  0.233  1.314  0.025  0.028  5.313  3.223  3.994  3.520  1.653  5.486  1.470  6.854  0.965  0.405  1.173
 2.5119 -1.3146  -0.059 -0.024  0.357  1.130  0.443  0.400  1.414 -0.107  3.685  2.223  0.015  0.069  1.192  1.004  0.855  0.487  0.374  0.229  1.303  0.025  0.027  5.110  2.960  3.868  3.368  1.656  5.414  1.438  6.751  0.963  0.398  1.170
 2.8184 -1.3146  -0.059 -0.025  0.363  1.100  0.431  0.397  1.408 -0.121  3.696  2.209  0.015  0.069  1.212  0.997  0.853  0.485  0.372  0.228  1.304  0.025  0.026  5.132  2.995  3.889  3.385  1.654  5.394  1.444  6.738  0.962  0.398  1.169
 3.1623 -1.3146  -0.058 -0.024  0.383  1.270  0.525  0.413  1.442 -0.129  3.564  2.229  0.015  0.070  1.232  1.019  0.861  0.485  0.376  0.229  1.286  0.024  0.024  4.883  2.664  3.727  3.186  1.661  5.344  1.393  6.639  0.960  0.392  1.164
 3.5481 -1.3146  -0.057 -0.024  0.406  1.479  0.639  0.433  1.484 -0.126  3.407  2.261  0.015  0.072  1.277  1.050  0.877  0.491  0.380  0.231  1.293  0.024  0.024  4.560  2.221  3.521  2.938  1.665  5.330  1.319  6.557  0.959  0.392  1.162
 3.9811 -1.3146  -0.056 -0.023  0.431  1.695  0.772  0.456  1.530 -0.117  3.237  2.298  0.016  0.073  1.306  1.087  0.899  0.502  0.387  0.235  1.293  0.023  0.022  4.226  1.795  3.302  2.679  1.667  5.325  1.234  6.472  0.957  0.392  1.158
 4.4668 -1.3146  -0.055 -0.022  0.457  1.899  0.899  0.476  1.572 -0.109  3.079  2.332  0.016  0.074  1.334  1.122  0.921  0.512  0.394  0.239  1.301  0.023  0.022  3.891  1.350  3.098  2.424  1.671  5.332  1.157  6.407  0.957  0.394  1.155
 5.0119 -1.3146  -0.054 -0.021  0.476  2.056  1.003  0.492  1.602 -0.110  2.948  2.349  0.017  0.075  1.368  1.144  0.932  0.516  0.397  0.240  1.302  0.022  0.021  3.619  0.999  2.925  2.208  1.665  5.315  1.088  6.326  0.955  0.393  1.151
 5.6234 -1.3146  -0.053 -0.020  0.499  2.252  1.132  0.513  1.643 -0.100  2.797  2.381  0.017  0.077  1.389  1.179  0.954  0.528  0.405  0.245  1.308  0.021  0.019  3.278  0.605  2.703  1.959  1.668  5.323  1.009  6.261  0.954  0.395  1.147
 6.3096 -1.3146  -0.052 -0.019  0.523  2.423  1.242  0.529  1.676 -0.103  2.667  2.400  0.018  0.078  1.406  1.209  0.967  0.532  0.412  0.247  1.317  0.020  0.018  2.976  0.275  2.506  1.739  1.672  5.321  0.940  6.196  0.954  0.396  1.142
 7.0795 -1.3146  -0.051 -0.019  0.543  2.557  1.332  0.545  1.706 -0.105  2.561  2.421  0.019  0.080  1.449  1.235  0.978  0.537  0.420  0.252  1.317  0.019  0.016  2.728 -0.042  2.354  1.550  1.676  5.319  0.880  6.137  0.953  0.397  1.135
 7.9433 -1.3146  -0.050 -0.019  0.563  2.718  1.440  0.564  1.741 -0.097  2.440  2.447  0.020  0.081  1.450  1.266  0.995  0.545  0.428  0.257  1.323  0.019  0.014  2.473 -0.296  2.164  1.352  1.679  5.329  0.822  6.093  0.952  0.400  1.131
 8.9125 -1.3146  -0.049 -0.018  0.587  2.867  1.545  0.579  1.771 -0.098  2.332  2.467  0.021  0.082  1.471  1.295  1.010  0.552  0.436  0.259  1.334  0.018  0.013  2.275 -0.500  2.001  1.178  1.690  5.336  0.770  6.053  0.952  0.402  1.126
10.0000 -1.3146  -0.049 -0.018  0.605  2.982  1.624  0.592  1.794 -0.108  2.241  2.475  0.022  0.082  1.449  1.317  1.019  0.554  0.441  0.261  1.345  0.017  0.012  2.106 -0.769  1.893  1.025  1.694  5.331  0.729  6.009  0.951  0.404  1.120
11.2202 -1.3146  -0.049 -0.017  0.626  3.112  1.708  0.605  1.820 -0.115  2.145  2.491  0.023  0.080  1.396  1.342  1.031  0.558  0.448  0.263  1.359  0.016  0.010  1.928 -1.057  1.782  0.864  1.707  5.344  0.691  5.987  0.951  0.407  1.115
12.5893 -1.3146  -0.049 -0.016  0.647  3.211  1.783  0.623  1.852 -0.122  2.078  2.511  0.025  0.084  1.446  1.371  1.055  0.573  0.453  0.268  1.392  0.016  0.009  1.773 -1.297  1.690  0.732  1.724  5.349  0.665  5.967  0.950  0.412  1.110
14.1254 -1.3146  -0.051 -0.018  0.664  3.302  1.828  0.623  1.857 -0.147  2.038  2.505  0.025  0.086  1.488  1.378  1.057  0.571  0.458  0.264  1.386  0.015  0.008  1.678 -1.470  1.620  0.636  1.721  5.353  0.647  5.955  0.950  0.413  1.107
15.8489 -1.3146  -0.055 -0.023  0.655  3.230  1.806  0.631  1.854 -0.144  2.041  2.493  0.025  0.090  1.535  1.370  1.053  0.571  0.454  0.271  1.377  0.014  0.006  1.668 -1.449  1.609  0.634  1.708  5.297  0.648  5.900  0.948  0.412  1.100
17.7828 -1.3146  -0.068 -0.032  0.644  2.854  1.666  0.596  1.784 -0.198  2.281  2.424  0.027  0.092  1.594  1.326  1.028  0.559  0.447  0.262  1.389  0.014  0.005  2.224 -0.833  2.060  1.020  1.702  5.315  0.771  6.032  0.948  0.413  1.097
 0.0631 -0.7052  -0.188 -0.100 -0.066 -1.468  0.060  0.098  0.763 -0.429  6.026  1.696  0.014  0.052  0.735  0.735  0.473  0.325  0.434  0.311  1.111  0.015  0.006  8.430  7.801  6.393  6.329  1.148  4.832  4.016  8.567  0.967  0.263  1.130
 0.0708 -0.7052  -0.188 -0.100 -0.062 -1.433  0.021  0.101  0.775 -0.456  6.035  1.699  0.013  0.050  0.705  0.723  0.459  0.311  0.425  0.299  1.062  0.015  0.005  8.449  7.809  6.375  6.322  1.162  4.722  4.131  8.564  0.965  0.248  1.128
 0.0794 -0.7052  -0.187 -0.101 -0.062 -1.382 -0.063  0.099  0.773 -0.483  6.024  1.666  0.012  0.050  0.725  0.693  0.437  0.287  0.409  0.281  1.018  0.015  0.004  8.417  7.766  6.327  6.290  1.175  4.535  4.296  8.531  0.964  0.223  1.126
 0.0891 -0.7052  -0.186 -0.101 -0.058 -1.335 -0.089  0.098  0.772 -0.484  6.004  1.641  0.011  0.049  0.739  0.674  0.426  0.273  0.396  0.269  0.996  0.015  0.004  8.384  7.724  6.288  6.259  1.189  4.427  4.415  8.533  0.963  0.208  1.127
 0.1000 -0.7052  -0.185 -0.101 -0.066 -1.333 -0.210  0.070  0.703 -0.507  5.971  1.524  0.011  0.047  0.725  0.605  0.380  0.240  0.373  0.248  0.968  0.015  0.004  8.286  7.647  6.252  6.232  1.204  4.336  4.510  8.531  0.962  0.197  1.128
 0.1122 -0.7052  -0.182 -0.099  0.007 -1.118 -0.093  0.135  0.850 -0.329  5.778  1.803  0.016  0.061  0.905  0.752  0.553  0.365  0.390  0.288  1.255  0.026  0.028  8.123  7.316  6.102  6.041  1.221  5.051  4.064  8.831  0.971  0.294  1.183
 0.1259 -0.7052  -0.175 -0.092  0.273 -0.615  0.300  0.338  1.259  0.750  5.280  2.935  0.029  0.115  1.816  1.202  1.101  0.661  0.328  0.385  2.380  0.087  0.152  7.490  6.371  5.750  5.549  1.249  6.904  2.773  9.483  1.033  0.543  1.263
 0.1413 -0.7052  -0.176 -0.094  0.225 -0.704  0.118  0.282  1.115  0.686  5.317  2.795  0.026  0.106  1.805  1.090  0.996  0.576  0.296  0.344  2.223  0.084  0.145  7.524  6.426  5.722  5.549  1.265  6.702  2.882  9.382  1.038  0.526  1.264
 0.1585 -0.7052  -0.175 -0.095  0.143 -0.823 -0.127  0.188  0.893  0.465  5.347  2.475  0.023  0.093  1.630  0.903  0.816  0.460  0.269  0.291  1.969  0.076  0.127  7.385  6.468  5.761  5.652  1.281  6.465  3.021  9.274  1.036  0.501  1.264
 0.1778 -0.7052  -0.180 -0.099  0.045 -1.168 -0.419  0.054  0.593  0.119  5.544  1.919  0.021  0.074  1.328  0.623  0.569  0.310  0.226  0.228  1.706  0.066  0.106  7.518  6.824  5.938  5.903  1.295  6.211  3.213  9.199  1.035  0.474  1.264
 0.1995 -0.7052  -0.180 -0.100 -0.027 -1.285 -0.629 -0.039  0.373 -0.125  5.556  1.477  0.019  0.061  1.097  0.404  0.368  0.186  0.195  0.172  1.455  0.055  0.084  7.390  6.811  5.924  5.938  1.314  5.878  3.313  8.959  1.032  0.444  1.257
 0.2239 -0.7052  -0.183 -0.102 -0.046 -1.386 -0.708 -0.064  0.318 -0.225  5.642  1.349  0.017  0.055  1.026  0.333  0.294  0.136  0.186  0.146  1.320  0.049  0.071  7.422  6.875  5.918  5.947  1.324  5.586  3.349  8.700  1.029  0.418  1.250
 0.2512 -0.7052  -0.187 -0.105 -0.040 -1.432 -0.851 -0.053  0.352 -0.289  5.754  1.306  0.016  0.058  0.995  0.337  0.285  0.126  0.196  0.140  1.241  0.044  0.059  7.580  7.153  5.912  6.055  1.345  5.245  3.383  8.392  1.021  0.384  1.241
 0.2818 -0.7052  -0.189 -0.107 -0.016 -1.418 -0.841 -0.024  0.426 -0.263  5.831  1.396  0.016  0.060  1.032  0.397  0.333  0.152  0.210  0.151  1.262  0.043  0.058  7.657  7.172  5.922  6.034  1.369  5.264  3.246  8.283  1.019  0.387  1.238
 0.3162 -0.7052  -0.192 -0.110  0.011 -1.416 -0.772  0.007  0.503 -0.224  5.909  1.479  0.017  0.060  1.077  0.464  0.389  0.182  0.226  0.165  1.305  0.043  0.058  7.743  7.241  5.950  6.033  1.396  5.353  3.116  8.251  1.017  0.395  1.236
 0.3548 -0.7052  -0.196 -0.113  0.037 -1.483 -0.762  0.027  0.556 -0.203  6.024  1.555  0.018  0.060  1.101  0.511  0.428  0.206  0.238  0.175  1.331  0.043  0.059  7.925  7.443  6.054  6.115  1.398  5.428  3.056  8.271  1.018  0.403  1.235
 0.3981 -0.7052  -0.199 -0.115  0.060 -1.521 -0.737  0.048  0.614 -0.208  6.110  1.586  0.018  0.060  1.100  0.550  0.459  0.224  0.252  0.185  1.338  0.041  0.055  8.083  7.628  6.131  6.184  1.418  5.402  3.053  8.241  1.013  0.401  1.231
 0.4467 -0.7052  -0.200 -0.116  0.093 -1.472 -0.688  0.080  0.693 -0.175  6.126  1.688  0.018  0.062  1.141  0.609  0.509  0.253  0.263  0.196  1.368  0.042  0.056  8.154  7.679  6.133  6.183  1.439  5.471  2.985  8.247  1.013  0.411  1.230
 0.5012 -0.7052  -0.200 -0.116  0.127 -1.407 -0.638  0.110  0.769 -0.140  6.120  1.787  0.018  0.064  1.183  0.666  0.558  0.281  0.274  0.207  1.398  0.042  0.057  8.199  7.697  6.123  6.166  1.456  5.538  2.919  8.252  1.013  0.421  1.231
 0.5623 -0.7052  -0.198 -0.116  0.160 -1.310 -0.576  0.142  0.844 -0.096  6.079  1.894  0.018  0.067  1.228  0.722  0.605  0.309  0.285  0.217  1.422  0.043  0.059  8.187  7.646  6.077  6.110  1.472  5.596  2.849  8.246  1.014  0.430  1.232
 0.6310 -0.7052  -0.195 -0.114  0.198 -1.136 -0.471  0.182  0.937 -0.031  5.973  2.017  0.019  0.070  1.288  0.794  0.665  0.344  0.299  0.231  1.453  0.043  0.059  8.087  7.466  5.969  5.986  1.490  5.651  2.765  8.222  1.013  0.438  1.231
 0.7079 -0.7052  -0.191 -0.112  0.229 -0.975 -0.383  0.217  1.016  0.015  5.873  2.117  0.019  0.072  1.332  0.851  0.708  0.367  0.311  0.241  1.468  0.043  0.059  8.001  7.296  5.874  5.873  1.511  5.674  2.705  8.190  1.013  0.443  1.231
 0.7943 -0.7052  -0.186 -0.109  0.263 -0.758 -0.265  0.256  1.102  0.077  5.722  2.226  0.019  0.075  1.382  0.914  0.756  0.393  0.325  0.252  1.485  0.043  0.059  7.823  7.004  5.725  5.695  1.533  5.708  2.621  8.146  1.012  0.447  1.229
 0.8913 -0.7052  -0.179 -0.105  0.302 -0.481 -0.105  0.303  1.202  0.172  5.518  2.363  0.019  0.079  1.455  0.995  0.818  0.429  0.342  0.267  1.512  0.043  0.059  7.534  6.585  5.511  5.442  1.553  5.770  2.506  8.100  1.011  0.454  1.228
 1.0000 -0.7052  -0.171 -0.100  0.338 -0.193  0.051  0.348  1.295  0.256  5.304  2.490  0.020  0.082  1.517  1.066  0.871  0.460  0.360  0.279  1.526  0.042  0.059  7.224  6.121  5.288  5.173  1.581  5.823  2.386  8.042  1.010  0.460  1.227
 1.1220 -0.7052  -0.162 -0.095  0.374  0.139  0.248  0.397  1.395  0.349  5.051  2.598  0.020  0.085  1.571  1.142  0.929  0.494  0.379  0.294  1.546  0.042  0.057  6.822  5.553  5.015  4.843  1.607  5.875  2.251  7.968  1.008  0.465  1.224
 1.2589 -0.7052  -0.146 -0.083  0.424  0.675  0.588  0.482  1.556  0.553  4.634  2.823  0.023  0.090  1.667  1.285  1.032  0.567  0.427  0.330  1.555  0.040  0.054  6.108  4.538  4.572  4.275  1.638  6.009  2.026  7.893  1.005  0.475  1.215
 1.4125 -0.7052  -0.125 -0.068  0.474  1.363  1.068  0.592  1.757  0.825  4.110  3.082  0.027  0.097  1.774  1.468  1.165  0.662  0.494  0.378  1.580  0.037  0.049  5.095  3.187  3.960  3.516  1.684  6.195  1.766  7.838  0.998  0.490  1.202
 1.5849 -0.7052  -0.126 -0.066  0.531  1.265  0.948  0.605  1.790  0.871  4.128  3.270  0.028  0.103  1.881  1.498  1.197  0.689  0.494  0.392  1.626  0.042  0.060  5.345  3.343  4.132  3.632  1.680  6.343  1.746  7.966  1.011  0.518  1.215
 1.7783 -0.7052  -0.117 -0.061  0.550  1.550  1.108  0.634  1.848  0.882  3.907  3.293  0.028  0.103  1.901  1.533  1.210  0.694  0.510  0.396  1.604  0.039  0.053  4.895  2.763  3.853  3.305  1.676  6.271  1.665  7.819  1.007  0.509  1.206
 1.9953 -0.7052  -0.105 -0.053  0.590  1.961  1.361  0.688  1.950  0.972  3.590  3.385  0.030  0.107  1.946  1.612  1.267  0.736  0.542  0.415  1.620  0.037  0.049  4.225  1.890  3.448  2.820  1.682  6.339  1.514  7.747  1.002  0.516  1.196
 2.2387 -0.7052  -0.092 -0.044  0.632  2.401  1.642  0.750  2.058  1.113  3.270  3.528  0.033  0.112  2.024  1.701  1.332  0.783  0.571  0.433  1.640  0.036  0.048  3.488  0.936  3.007  2.285  1.702  6.425  1.364  7.694  0.999  0.525  1.190
 2.5119 -0.7052  -0.083 -0.038  0.665  2.726  1.812  0.788  2.125  1.182  3.045  3.619  0.034  0.114  2.069  1.749  1.365  0.807  0.587  0.439  1.642  0.036  0.048  2.933  0.213  2.671  1.883  1.713  6.465  1.262  7.639  0.999  0.531  1.187
